gene_id,Embryo0-2h,Embryo2-4h,Embryo4-6h,Embryo6-8h,Embryo8-10h,Embryo10-12h,Embryo12-14h,Embryo14-16h,Embryo16-18h,Embryo18-20h,Embryo20-22h,Embryo22-24h,L1,L2,L3+12h,L3PS1-2,L3PS3-6,L3PS7-9,Prepupae,Prepupae+12h,Prepupae+24h,Prepupae+2d,Prepupae+3d,Prepupae+4d,Male+1d,Male+5d,Male+30d,Female+1d,Female+5d,Female+30d
FBgn0031208,0.09580330000000001,0.718974,1.0725,0.647684,0.381323,0.19218,0.538157,0.495993,0.642496,0.43112700000000004,0.112168,0.20806,0.206073,0.175318,0.168106,1.70754,3.7998199999999995,5.192419999999999,4.49271,6.910410000000001,10.7934,12.7517,10.8446,7.20562,13.6948,17.2416,16.9229,0.117726,0.0755164,0.147601
FBgn0002121,63.0636,100.15299999999999,127.647,88.2904,78.5995,37.1784,99.2423,63.9712,107.779,62.2623,38.8722,52.1241,15.572000000000001,27.3588,20.7324,21.8557,30.6638,30.7878,31.9132,25.678,33.6545,21.7474,18.0552,9.01892,12.3897,11.4216,10.2258,21.6035,55.2952,45.5084
FBgn0031216,11.7547,21.3233,34.501,23.4546,27.3334,13.2173,35.9716,10.0986,12.1103,7.03328,11.0942,14.7652,4.47215,4.51063,4.09472,4.84708,9.647960000000001,16.9369,19.3516,19.88,21.945,14.42,7.76717,2.46276,5.03186,4.60307,3.7486,4.14624,11.0451,8.93559
FBgn0031217,52.7131,12.804,38.6204,34.0144,34.9734,31.3516,25.8511,25.2423,22.3181,13.2136,6.709239999999999,6.6115,20.238,41.9505,23.1475,15.4491,19.0375,23.6299,24.3381,20.2337,25.0197,18.0966,9.5696,8.861989999999999,18.9029,20.668000000000003,26.7999,31.9494,45.8173,43.58
FBgn0026787,23.3314,6.9646300000000005,11.6637,13.2951,12.0594,11.6056,18.3592,11.7697,12.0699,11.3389,11.2543,15.0601,10.2593,9.891630000000001,6.99132,15.6062,17.7663,19.9368,16.1016,11.8387,11.4916,11.8304,10.7215,8.814810000000001,16.9263,20.0774,19.3195,12.0597,22.2656,20.8876
FBgn0005278,206.669,277.58,182.16400000000002,181.514,209.063,203.968,254.34900000000002,162.928,143.499,129.69299999999998,349.603,396.62199999999996,405.088,198.672,294.291,110.771,91.1964,73.3966,64.729,60.2436,88.6178,84.6712,94.1227,93.7579,97.3979,83.5947,93.3662,212.49200000000002,248.71099999999998,241.773
FBgn0031228,134.017,137.616,228.446,167.84,180.024,269.52,194.601,185.405,228.56,243.65599999999998,307.672,346.639,359.981,386.75,345.485,231.033,144.02,170.88099999999997,145.56799999999998,166.39700000000002,155.888,237.709,477.481,433.601,444.009,318.83299999999997,189.96200000000002,311.41200000000003,196.794,160.292
FBgn0031229,59.4992,60.1163,83.87700000000001,70.0676,61.2033,48.0914,47.6274,18.4188,18.8968,11.245999999999999,11.0541,14.0971,19.3606,20.7328,18.1848,20.8983,23.6496,34.563,36.292,35.0625,30.9282,23.1319,16.3184,12.2185,12.039000000000001,12.2213,10.8458,22.24,51.5935,48.2736
FBgn0001142,235.595,73.0225,31.6195,81.3114,112.625,226.399,180.229,239.17,243.59099999999998,161.704,118.06,120.49799999999999,124.98700000000001,183.229,225.77,220.865,499.845,716.309,864.5930000000001,266.247,205.326,174.467,160.877,103.42200000000001,101.525,77.7373,93.3382,120.085,141.597,143.009
FBgn0031224,28.0795,15.9445,36.5091,39.954,34.4084,36.8524,26.853,24.7745,21.2648,18.8501,16.1619,16.2843,25.9089,21.5997,19.1373,25.6014,25.6918,26.0414,23.7709,29.6895,31.7117,24.4512,17.7366,15.0099,19.5096,20.491,23.5789,22.3382,20.2014,21.6536
FBgn0259818,0.33205,1.8702599999999998,3.1821599999999997,2.8642,2.02077,1.54484,1.7527,1.9669400000000001,3.10931,2.02299,1.15841,1.23491,1.67655,2.14405,1.26378,0.893273,1.31492,1.37455,1.6085200000000002,2.42283,2.85176,2.8230299999999997,2.7679,2.50581,1.79945,2.70221,2.86654,1.0022,1.02054,1.05669
FBgn0031227,7.6662,7.23505,6.865189999999999,5.70365,6.6365300000000005,5.46261,8.38918,2.1724799999999997,2.94493,1.41878,2.15635,3.4312,5.3228599999999995,6.11937,3.80815,2.0084299999999997,3.0928400000000003,3.9044800000000004,3.8876,3.5615900000000003,4.06249,3.79474,2.1656400000000002,1.1735799999999998,2.4603599999999997,2.34039,1.5972,2.5282400000000003,9.19281,6.560169999999999
FBgn0053635,12.4566,9.02934,11.6451,7.422439999999999,8.39296,7.41632,10.2219,3.53229,5.05468,2.50712,2.65639,4.95106,3.3463,8.07771,5.73338,6.95527,8.79904,11.1475,10.0141,8.75313,8.99606,7.28666,3.8956699999999995,2.50523,4.5901,4.93916,3.49191,2.9487200000000002,11.2248,11.4956
FBgn0031231,98.8126,39.6888,18.0108,16.9223,28.7551,82.0457,59.3342,66.3238,60.9361,48.9245,43.0664,38.4089,70.2772,86.8116,65.311,29.6835,21.7059,25.3909,19.9147,17.0114,18.9019,35.0114,44.4691,26.2148,34.9529,33.9049,32.9824,51.6692,66.6638,73.6304
