S1,S2,Value
FBgn0043865,F18E2.3,1
FBgn0020616,F18E2.3,1
FBgn0260856,B0272.2,1
FBgn0260856,M03E7.5,1
FBgn0004106,T05G5.3,1
FBgn0016131,F18H3.5,1
FBgn0034258,T23D8.4,1
FBgn0015754,T03F6.5,1
FBgn0039000,R07E4.1,1
FBgn0028434,F10G8.7,1
FBgn0036124,F23B12.7,1
FBgn0030306,Y37D8A.10,1
FBgn0017557,C36B1.4,1
FBgn0004066,C36B1.4,1
FBgn0017556,C36B1.4,1
FBgn0004657,ZK1058.2,1
FBgn0032223,F58E10.5,1
FBgn0032223,F58E10.2,1
FBgn0032223,K02B9.4,1
FBgn0032223,C18G1.2,1
FBgn0032223,F55A8.1,1
FBgn0032223,F52C12.5,1
FBgn0025355,C03D6.4,1
FBgn0036311,K08E7.5,1
FBgn0015929,Y39G10AR.14,1
FBgn0033890,F17C11.10,1
FBgn0036488,Y94A7B.11,1
FBgn0036488,F15D4.3,1
FBgn0052227,F09F9.4,1
FBgn0029756,F53H1.3,1
FBgn0013272,M88.6,1
FBgn0030358,C53B4.4,1
FBgn0036484,C15H9.8,1
FBgn0036534,F52G2.1,1
FBgn0033983,Y50D7A.7,1
FBgn0041096,R11A8.7,1
FBgn0043884,R11A8.7,1
FBgn0034496,F55F8.2,1
FBgn0041627,R07E5.8,1
FBgn0040509,T01C2.1,1
FBgn0040510,T01C2.1,1
FBgn0040508,T01C2.1,1
FBgn0040506,T01C2.1,1
FBgn0040507,T01C2.1,1
FBgn0052301,T01C2.1,1
FBgn0052305,T01C2.1,1
FBgn0003301,C44F1.5,1
FBgn0001205,F08F8.2,1
FBgn0037717,C27A12.3,1
FBgn0039212,T10H9.3,1
FBgn0002121,F56F10.4,1
FBgn0040985,Y42A5A.5,1
FBgn0004227,F25B5.7,1
FBgn0040045,F25B5.7,1
FBgn0015520,F25B5.7,1
FBgn0034029,C15F1.4,1
FBgn0032620,F11A10.7,1
FBgn0030057,F44C4.5,1
FBgn0025574,F25B4.2,1
FBgn0040347,C43E11.2,1
FBgn0261569,F21A10.1,1
FBgn0261569,C16H3.1,1
FBgn0039380,F21A10.1,1
FBgn0039380,C16H3.1,1
FBgn0083228,C44C1.3,1
FBgn0030897,C44C1.3,1
FBgn0001250,F54F2.1,1
FBgn0062440,F20D1.10,1
FBgn0019968,F56E3.3,1
FBgn0030855,Y23H5B.6,1
FBgn0034520,F20D12.6,1
FBgn0037975,F37C12.12,1
FBgn0037974,F37C12.12,1
FBgn0037973,F37C12.12,1
FBgn0015623,K10D2.6,1
FBgn0038331,C14A4.11,1
FBgn0000239,M106.4,1
FBgn0052026,F43G9.1,1
FBgn0039227,C26C6.1,1
FBgn0024945,Y56A3A.13,1
FBgn0031766,F53B1.6,1
FBgn0031766,B0432.9,1
FBgn0031766,C03F11.2,1
FBgn0031766,C23H3.9,1
FBgn0031766,C25D7.5,1
FBgn0032916,F44E2.10,1
FBgn0025726,ZK524.2,1
FBgn0041186,R06F6.1,1
FBgn0052396,T04H1.9,1
FBgn0003887,ZK154.3,1
FBgn0003888,ZK154.3,1
FBgn0003889,ZK154.3,1
FBgn0017578,T19B10.11,1
FBgn0017578,F46G10.6,1
FBgn0034068,F48A11.5,1
FBgn0058470,T12E12.6,1
FBgn0058470,Y53F4B.20,1
FBgn0058470,VB0395L.1,1
FBgn0058470,Y67D8C.9,1
FBgn0058470,Y42A5A.1,1
FBgn0051343,R03G8.4,1
FBgn0051343,R03G8.6,1
FBgn0051343,T07F10.1,1
FBgn0051343,AC3.5,1
FBgn0051343,T16G12.1,1
FBgn0051233,R03G8.4,1
FBgn0051233,R03G8.6,1
FBgn0051233,T07F10.1,1
FBgn0051233,AC3.5,1
FBgn0051233,T16G12.1,1
FBgn0038897,R03G8.4,1
FBgn0038897,R03G8.6,1
FBgn0038897,T07F10.1,1
FBgn0038897,AC3.5,1
FBgn0038897,T16G12.1,1
FBgn0261243,F49E8.3,1
FBgn0038269,C14A4.4,1
FBgn0030093,Y71H2AM.17,1
FBgn0021761,Y41D4B.19,1
FBgn0261922,Y75B8A.24,1
FBgn0037737,R186.7,1
FBgn0038829,C29E4.14,1
FBgn0038829,T04F3.4,1
FBgn0038829,F55A11.1,1
FBgn0037798,C29E4.14,1
FBgn0037798,T04F3.4,1
FBgn0037798,F55A11.1,1
FBgn0027598,Y44E3A.4,1
FBgn0260012,H38K22.1,1
FBgn0038996,Y119D3B.16,1
FBgn0030961,F37A4.9,1
FBgn0036170,F37A4.9,1
FBgn0026318,F45G2.6,1
FBgn0026318,Y110A7A.2,1
FBgn0026319,F45G2.6,1
FBgn0026319,Y110A7A.2,1
FBgn0030748,F45G2.6,1
FBgn0030748,Y110A7A.2,1
FBgn0033929,R02D3.3,1
FBgn0004618,C55B7.12,1
FBgn0063670,Y54G11A.11,1
FBgn0036531,Y54G11A.11,1
FBgn0034641,ZK1251.9,1
FBgn0085403,F53A10.2,1
FBgn0030499,T26A5.6,1
FBgn0031255,T25F10.5,1
FBgn0033578,F58A4.14,1
FBgn0033714,C24H11.7,1
FBgn0028538,Y6B3A.1,1
FBgn0029176,F17C11.9,1
FBgn0023508,C16C2.3,1
FBgn0036273,T25B9.10,1
FBgn0015806,Y47D3A.16,1
FBgn0031745,W05B10.4,1
FBgn0039402,Y46G5A.12,1
FBgn0035589,C01A2.4,1
FBgn0039265,D2092.4,1
FBgn0027493,C37H5.6,1
FBgn0037383,F40G9.1,1
FBgn0036697,H14A12.3,1
FBgn0261456,F14H12.4,1
FBgn0261456,C24A8.4,1
FBgn0036254,F54C9.9,1
FBgn0259146,C14B1.10,1
FBgn0034748,C14B1.10,1
FBgn0031196,C04C3.5,1
FBgn0028539,F56F4.6,1
FBgn0051121,C56E6.5,1
FBgn0031170,Y39D8C.1,1
FBgn0036747,Y39D8C.1,1
FBgn0261998,Y39D8C.1,1
FBgn0051213,Y39D8C.1,1
FBgn0034493,Y39D8C.1,1
FBgn0031169,Y39D8C.1,1
FBgn0053173,Y39D8C.1,1
FBgn0031171,Y39D8C.1,1
FBgn0034521,B0416.6,1
FBgn0034521,M01F1.1,1
FBgn0034521,F48E3.1,1
