"","V4","V5","V6","V7"
"1","FBgn0043865","F18E2.3","WBGene00004738",2
"2","FBgn0020616","F18E2.3","WBGene00004738",2
"3","FBgn0260856","B0272.2","WBGene00007128",1
"4","FBgn0260856","M03E7.5","WBGene00019757",1
"5","FBgn0004106","T05G5.3","WBGene00000405",1
"6","FBgn0016131","F18H3.5","WBGene00000406",1
"7","FBgn0034258","T23D8.4","WBGene00001226",1
"8","FBgn0015754","T03F6.5","WBGene00003047",1
"9","FBgn0039000","R07E4.1","WBGene00019935",1
"10","FBgn0028434","F10G8.7","WBGene00008665",1
"11","FBgn0036124","F23B12.7","WBGene00009084",1
"12","FBgn0030306","Y37D8A.10","WBGene00012550",1
"13","FBgn0017557","C36B1.4","WBGene00003925",3
"14","FBgn0004066","C36B1.4","WBGene00003925",3
"15","FBgn0017556","C36B1.4","WBGene00003925",3
"16","FBgn0004657","ZK1058.2","WBGene00003930",1
"17","FBgn0032223","F58E10.5","WBGene00001311",1
"18","FBgn0032223","F58E10.2","WBGene00001310",1
"19","FBgn0032223","K02B9.4","WBGene00001251",1
"20","FBgn0032223","C18G1.2","WBGene00015981",1
"21","FBgn0032223","F55A8.1","WBGene00001186",1
"22","FBgn0032223","F52C12.5","WBGene00001253",1
"23","FBgn0025355","C03D6.4","WBGene00003800",1
"24","FBgn0036311","K08E7.5","WBGene00010673",1
"25","FBgn0015929","Y39G10AR.14","WBGene00003156",1
"26","FBgn0033890","F17C11.10","WBGene00008921",1
"27","FBgn0036488","Y94A7B.11","WBGene00050893",1
"28","FBgn0036488","F15D4.3","WBGene00008860",1
"29","FBgn0052227","F09F9.4","WBGene00017309",1
"30","FBgn0029756","F53H1.3","WBGene00018777",1
"31","FBgn0013272","M88.6","WBGene00003915",1
"32","FBgn0030358","C53B4.4","WBGene00008274",1
"33","FBgn0036484","C15H9.8","WBGene00004193",1
"35","FBgn0036534","F52G2.1","WBGene00003582",1
"36","FBgn0033983","Y50D7A.7","WBGene00000081",1
"37","FBgn0041096","R11A8.7","WBGene00011240",2
"38","FBgn0043884","R11A8.7","WBGene00011240",2
"39","FBgn0034496","F55F8.2","WBGene00018890",1
"40","FBgn0041627","R07E5.8","WBGene00000520",1
"41","FBgn0040509","T01C2.1","WBGene00000071",7
"42","FBgn0040510","T01C2.1","WBGene00000071",7
"43","FBgn0040508","T01C2.1","WBGene00000071",7
"44","FBgn0040506","T01C2.1","WBGene00000071",7
"45","FBgn0040507","T01C2.1","WBGene00000071",7
"46","FBgn0052301","T01C2.1","WBGene00000071",7
"47","FBgn0052305","T01C2.1","WBGene00000071",7
"48","FBgn0003301","C44F1.5","WBGene00000070",1
"49","FBgn0001205","F08F8.2","WBGene00017268",1
"50","FBgn0037717","C27A12.3","WBGene00006492",1
"51","FBgn0039212","T10H9.3","WBGene00020425",1
"52","FBgn0002121","F56F10.4","WBGene00018987",1
"53","FBgn0040985","Y42A5A.5","WBGene00012780",1
"54","FBgn0004227","F25B5.7","WBGene00017778",3
"55","FBgn0040045","F25B5.7","WBGene00017778",3
"56","FBgn0015520","F25B5.7","WBGene00017778",3
"57","FBgn0034029","C15F1.4","WBGene00004090",1
"58","FBgn0032620","F11A10.7","WBGene00008688",1
"59","FBgn0030057","F44C4.5","WBGene00004092",1
"60","FBgn0025574","F25B4.2","WBGene00017766",1
"61","FBgn0040347","C43E11.2","WBGene00016602",1
"62","FBgn0261569","F21A10.1","WBGene00008998",2
"63","FBgn0261569","C16H3.1","WBGene00015867",2
"64","FBgn0039380","F21A10.1","WBGene00008998",2
"65","FBgn0039380","C16H3.1","WBGene00015867",2
"66","FBgn0083228","C44C1.3","WBGene00003563",2
"67","FBgn0030897","C44C1.3","WBGene00003563",2
"68","FBgn0001250","F54F2.1","WBGene00003929",1
"69","FBgn0062440","F20D1.10","WBGene00008980",1
"70","FBgn0019968","F56E3.3","WBGene00002217",1
"71","FBgn0030855","Y23H5B.6","WBGene00021277",1
"72","FBgn0034520","F20D12.6","WBGene00000442",1
"73","FBgn0037975","F37C12.12","WBGene00003176",3
"74","FBgn0037974","F37C12.12","WBGene00003176",3
"75","FBgn0037973","F37C12.12","WBGene00003176",3
"76","FBgn0015623","K10D2.6","WBGene00001262",1
"77","FBgn0038331","C14A4.11","WBGene00007561",1
"78","FBgn0000239","M106.4","WBGene00010912",1
"79","FBgn0052026","F43G9.1","WBGene00009664",1
"80","FBgn0039227","C26C6.1","WBGene00007042",1
"81","FBgn0024945","Y56A3A.13","WBGene00003594",1
"82","FBgn0031766","F53B1.6","WBGene00018738",1
